drug,effect,cosine_similarities
['lamivudine'],['acute dystonia'],"[('lamivudine', 'acute dystonia', np.float32(0.82279575))]"
['indapamide'],['glucose tolerance impairing'],"[('indapamide', 'glucose tolerance impairing', np.float32(0.95796025))]"
['carbamazepine'],['sle'],"[('carbamazepine', 'sle', np.float32(0.4944755))]"
['methotrexate'],['leukoencephalopathy'],"[('methotrexate', 'leukoencephalopathy', np.float32(0.736904))]"
[],['seizures'],"[(None, None, None)]"
"['nifuroxime', 'furazolidone']",['jaundice'],"[('nifuroxime', 'jaundice', np.float32(0.74215853)), ('furazolidone', 'jaundice', np.float32(0.7623659))]"
[],"['ten', 'toxic epidermal necrolysis']","[(None, None, None)]"
['phenylpropanolamine'],['cerebral infarcts'],"[('phenylpropanolamine', 'cerebral infarcts', np.float32(0.97424))]"
['amiodarone'],['neuropathy'],"[('amiodarone', 'neuropathy', np.float32(0.68885523))]"
"['ribavirin', 'interferon-alfa']",['diabetes mellitus'],"[('ribavirin', 'diabetes mellitus', np.float32(0.7832376)), ('interferon-alfa', 'diabetes mellitus', None)]"
['trazodone hydrochloride'],[],"[(None, None, None)]"
['prednisone'],['fever'],"[('prednisone', 'fever', np.float32(0.41295224))]"
"['citalopram', 'propafenone']",[],"[(None, None, None)]"
['isoniazid'],['psychotic disorder'],"[('isoniazid', 'psychotic disorder', np.float32(0.93188345))]"
['fluvoxamine'],['increased libido'],"[('fluvoxamine', 'increased libido', np.float32(0.90154994))]"
['sirolimus'],[],"[(None, None, None)]"
[],['acute hepatitis'],"[(None, None, None)]"
['corticosteroid'],['nocardiosis'],"[('corticosteroid', 'nocardiosis', np.float32(0.90977716))]"
['ofloxacin'],['toxic epidermal necrolysis'],"[('ofloxacin', 'toxic epidermal necrolysis', np.float32(0.8340422))]"
['nortriptyline'],"['seizures', 'recurrent hypotension']","[('nortriptyline', 'seizures', np.float32(0.8927475)), ('nortriptyline', 'recurrent hypotension', np.float32(0.82581407))]"
['risperidone'],['increased mood symptoms'],"[('risperidone', 'increased mood symptoms', np.float32(0.85232633))]"
['interferon alpha'],['polymyositis'],"[('interferon alpha', 'polymyositis', np.float32(0.76760703))]"
['nevirapine'],"['severe leukopenia', 'hepatotoxicity']","[('nevirapine', 'severe leukopenia', np.float32(0.7445947)), ('nevirapine', 'hepatotoxicity', np.float32(0.94566226))]"
['amiodarone'],[],"[(None, None, None)]"
['busulfan'],"['hvod', 'pvt']","[('busulfan', 'hvod', np.float32(0.97872925)), ('busulfan', 'pvt', np.float32(0.9697802))]"
['irbesartan'],['angio-oedema'],"[('irbesartan', 'angio-oedema', None)]"
['phenytoin'],[],"[(None, None, None)]"
['sulfamethoxazole-trimethoprim'],['hyperkalaemia'],"[('sulfamethoxazole-trimethoprim', 'hyperkalaemia', None)]"
['adalimumab'],['macrophagic activation syndrome'],"[('adalimumab', 'macrophagic activation syndrome', np.float32(0.80792034))]"
['olanzapine'],['leukopenia'],"[('olanzapine', 'leukopenia', np.float32(0.6318187))]"
"['gefitinib', 'erlotinib']",['acute severe hepatitis'],"[('gefitinib', 'acute severe hepatitis', np.float32(0.68180794)), ('erlotinib', 'acute severe hepatitis', np.float32(0.78896165))]"
['amiodarone'],['thyrotoxicosis'],"[('amiodarone', 'thyrotoxicosis', np.float32(0.87453294))]"
['insulin'],['hives'],"[('insulin', 'hives', np.float32(0.82406384))]"
['alprazolam'],[],"[(None, None, None)]"
['naloxone'],['spasm'],"[('naloxone', 'spasm', np.float32(0.98129016))]"
['quetiapine'],['ocs'],"[('quetiapine', 'ocs', np.float32(0.9471713))]"
['etanercept'],['persistent hypoglycemia'],"[('etanercept', 'persistent hypoglycemia', np.float32(0.8131267))]"
['mannitol'],['nephrotoxicity'],"[('mannitol', 'nephrotoxicity', np.float32(0.86408234))]"
[],['thrombocytopenia'],"[(None, None, None)]"
['gold'],['nephropathy'],"[('gold', 'nephropathy', np.float32(0.95282596))]"
[],"['oxygen potentiation', 'pulmonary toxicity']","[(None, None, None)]"
['acyclovir'],[],"[(None, None, None)]"
['mefloquine'],[],"[(None, None, None)]"
['mtx'],['allergy'],"[('mtx', 'allergy', np.float32(0.78130144))]"
['quinine'],['ototoxicity'],"[('quinine', 'ototoxicity', np.float32(0.9483964))]"
['clozapine'],['td'],"[('clozapine', 'td', np.float32(0.81694597))]"
['olanzapine'],['akathisia'],"[('olanzapine', 'akathisia', np.float32(0.8648377))]"
['mannitol'],['anuric arf'],"[('mannitol', 'anuric arf', np.float32(0.9769751))]"
['tamoxifen'],['aml'],"[('tamoxifen', 'aml', np.float32(0.89544624))]"
"['capecitabine', 'diphenhydramine']",['allergic reactions'],"[('capecitabine', 'allergic reactions', np.float32(0.7954525)), ('diphenhydramine', 'allergic reactions', np.float32(0.73471624))]"
['perospirone hydrochloride'],['deep coma'],"[('perospirone hydrochloride', 'deep coma', np.float32(0.94780004))]"
[],['adrenaline dacryolith'],"[(None, None, None)]"
"['ribavirin', 'pegylated interferon']",['celiac disease onset'],"[('ribavirin', 'celiac disease onset', np.float32(0.7270201)), ('pegylated interferon', 'celiac disease onset', np.float32(0.724216))]"
"['epinephrine', 'immunoglobulin']","['acute epinephrine toxicity', 'severe allergic reaction', 'acute myocardial ischemia']","[('epinephrine', 'acute epinephrine toxicity', np.float32(0.87809885)), ('epinephrine', 'severe allergic reaction', np.float32(0.7629688)), ('epinephrine', 'acute myocardial ischemia', np.float32(0.85568964)), ('immunoglobulin', 'acute epinephrine toxicity', np.float32(0.83102524)), ('immunoglobulin', 'severe allergic reaction', np.float32(0.7199807)), ('immunoglobulin', 'acute myocardial ischemia', np.float32(0.80168253))]"
['clozapine'],"['neutropenia', 'agranulocytosis']","[('clozapine', 'neutropenia', np.float32(0.6877089)), ('clozapine', 'agranulocytosis', np.float32(0.6313068))]"
[],['liver injury'],"[(None, None, None)]"
['lithium'],[],"[(None, None, None)]"
['tryptophan'],['eosinophilia myalgia syndrome'],"[('tryptophan', 'eosinophilia myalgia syndrome', np.float32(0.81143457))]"
['heparin'],['platelet activation'],"[('heparin', 'platelet activation', np.float32(0.8167257))]"
[],['focal myositis'],"[(None, None, None)]"
['danazol'],[],"[(None, None, None)]"
"['disopyramide', 'amiodarone', 'quinidine']",['arrhythmia'],"[('disopyramide', 'arrhythmia', np.float32(0.96132034)), ('amiodarone', 'arrhythmia', np.float32(0.8565789)), ('quinidine', 'arrhythmia', np.float32(0.9755961))]"
"['isoniazid', 'niacin']",['pellagra'],"[('isoniazid', 'pellagra', np.float32(0.94376355)), ('niacin', 'pellagra', np.float32(0.9649917))]"
['salazosulfapyridine'],[],"[(None, None, None)]"
[],['anaphylaxis'],"[(None, None, None)]"
['heroin'],['bilateral ballism'],"[('heroin', 'bilateral ballism', np.float32(0.8901099))]"
['colchicine'],['corneal wound healing'],"[('colchicine', 'corneal wound healing', np.float32(0.9261045))]"
[],"['aluminum intoxication', 'tc']","[(None, None, None)]"
['rituximab'],['pleuritic chest pain'],"[('rituximab', 'pleuritic chest pain', np.float32(0.76445544))]"
['insulin'],['posthypoglycemic hyperglycemia'],"[('insulin', 'posthypoglycemic hyperglycemia', np.float32(0.841978))]"
['amphotericin b'],['severe side effects'],"[('amphotericin b', 'severe side effects', np.float32(0.7213142))]"
[],['hiccups'],"[(None, None, None)]"
['triamcinolone acetonide'],[],"[(None, None, None)]"
['rituximab-chop'],['interstitial pneumonitis'],"[('rituximab-chop', 'interstitial pneumonitis', None)]"
"['simvastatin', 'colchicine']",[],"[(None, None, None)]"
[],['arteriospasm'],"[(None, None, None)]"
['theophylline'],[],"[(None, None, None)]"
[],['leucocytosis'],"[(None, None, None)]"
['baclofen'],"['withdrawal syndrome', 'prolonged fever']","[('baclofen', 'withdrawal syndrome', np.float32(0.8090667)), ('baclofen', 'prolonged fever', np.float32(0.75687355))]"
['fludarabine'],"['pulmonary toxicity', 'multiple pulmonary nodules']","[('fludarabine', 'pulmonary toxicity', np.float32(0.7314785)), ('fludarabine', 'multiple pulmonary nodules', np.float32(0.9036008))]"
['l-asparaginase'],['acute pancreatitis'],"[('l-asparaginase', 'acute pancreatitis', None)]"
[],['hypersensitivity syndrome'],"[(None, None, None)]"
['sorafenib'],[],"[(None, None, None)]"
"['interferon alpha', 'interferon']",['vogt-koyanagi-harada disease'],"[('interferon alpha', 'vogt-koyanagi-harada disease', np.float32(0.55603635)), ('interferon', 'vogt-koyanagi-harada disease', np.float32(0.5361676))]"
[],['creutzfeldt-jakob syndrome'],"[(None, None, None)]"
['disulfiram'],['fulminant hepatic failure'],"[('disulfiram', 'fulminant hepatic failure', np.float32(0.8746039))]"
"['cisplatin', 'methotrexate', 'neoadjuvant']",['hemolytic-uremic syndrome'],"[('cisplatin', 'hemolytic-uremic syndrome', np.float32(0.5610002)), ('methotrexate', 'hemolytic-uremic syndrome', np.float32(0.46303564)), ('neoadjuvant', 'hemolytic-uremic syndrome', np.float32(0.5994555))]"
"['fentanyl', 'citalopram']",['serotonin syndrome'],"[('fentanyl', 'serotonin syndrome', np.float32(0.6365795)), ('citalopram', 'serotonin syndrome', np.float32(0.68820274))]"
['penicillamine'],['brainstem lesions'],"[('penicillamine', 'brainstem lesions', np.float32(0.88819265))]"
['propylthiouracil'],"['hepatic injury', 'submassive hepatic necrosis']","[('propylthiouracil', 'hepatic injury', np.float32(0.7257469)), ('propylthiouracil', 'submassive hepatic necrosis', np.float32(0.8034627))]"
['gefitinib'],['erlotinib pulmonary toxicity'],"[('gefitinib', 'erlotinib pulmonary toxicity', np.float32(0.8012984))]"
['vinorelbine'],"['siadh', 'hypokalemia']","[('vinorelbine', 'siadh', np.float32(0.93176)), ('vinorelbine', 'hypokalemia', np.float32(0.97874945))]"
['chloramphenicol'],['hypersensitivity reactions'],"[('chloramphenicol', 'hypersensitivity reactions', np.float32(0.767383))]"
['vincristine'],['cranial polyneuropathy'],"[('vincristine', 'cranial polyneuropathy', np.float32(0.8988713))]"
['gefitinib'],['ild'],"[('gefitinib', 'ild', np.float32(0.9681508))]"
['dapsone'],[],"[(None, None, None)]"
[],['terminal malignant melanoma'],"[(None, None, None)]"
"['theophylline', 'zafirlukast']",['drug-drug interaction'],"[('theophylline', 'drug-drug interaction', np.float32(0.864232)), ('zafirlukast', 'drug-drug interaction', np.float32(0.84380686))]"
['ibuprofen'],[],"[(None, None, None)]"
['fluticasone propionate'],[],"[(None, None, None)]"
['benzarone'],['hepatotoxicity'],"[('benzarone', 'hepatotoxicity', np.float32(0.9699912))]"
['ethambutol'],['optic neuropathies'],"[('ethambutol', 'optic neuropathies', np.float32(0.9541307))]"
['zomepirac sodium'],[],"[(None, None, None)]"
"['clozapine', 'clomipramine']",['serotonin syndrome'],"[('clozapine', 'serotonin syndrome', np.float32(0.36216435)), ('clomipramine', 'serotonin syndrome', np.float32(0.4240748))]"
[],['bradycardia'],"[(None, None, None)]"
['mequitazine'],['photosensitivity reaction'],"[('mequitazine', 'photosensitivity reaction', np.float32(0.6221876))]"
['phenytoin'],['phenytoin toxicity'],"[('phenytoin', 'phenytoin toxicity', np.float32(0.8962795))]"
"['oxaprozin', 'naproxen']",[],"[(None, None, None)]"
['magnesium sulfate'],[],"[(None, None, None)]"
['raloxifene'],['malignant mixed mullerian tumor of the uterus'],"[('raloxifene', 'malignant mixed mullerian tumor of the uterus', np.float32(0.9178898))]"
[],['serum sickness-like reactions'],"[(None, None, None)]"
[],['hepatitis'],"[(None, None, None)]"
"['cyclophosphamide', 'methotrexate', '5-fluorouracil']",['acute myelocytic leukemia'],"[('cyclophosphamide', 'acute myelocytic leukemia', np.float32(0.85855985)), ('methotrexate', 'acute myelocytic leukemia', np.float32(0.6298184)), ('5-fluorouracil', 'acute myelocytic leukemia', None)]"
"['retinoids', 'atra']",['apl'],"[('retinoids', 'apl', np.float32(0.9504725)), ('atra', 'apl', np.float32(0.95993257))]"
['phenytoin'],"['hypersensitivity reactions', 'hepatitis', 'mononucleosis']","[('phenytoin', 'hypersensitivity reactions', np.float32(0.8598185)), ('phenytoin', 'hepatitis', np.float32(0.53327906)), ('phenytoin', 'mononucleosis', np.float32(0.80265355))]"
['dofetilide'],"['flash pulmonary edema', 'torsades de pointes']","[('dofetilide', 'flash pulmonary edema', np.float32(0.8316435)), ('dofetilide', 'torsades de pointes', np.float32(0.76726675))]"
['brimonidine'],[],"[(None, None, None)]"
"['asparaginase', 'vincristine sulfate', 'prednisone']",['dural sinus thrombosis'],"[('asparaginase', 'dural sinus thrombosis', np.float32(0.8918225)), ('vincristine sulfate', 'dural sinus thrombosis', np.float32(0.9225978)), ('prednisone', 'dural sinus thrombosis', np.float32(0.8781131))]"
['lidocaine'],[],"[(None, None, None)]"
['carbamazepine'],['sle'],"[('carbamazepine', 'sle', np.float32(0.4944755))]"
['danazol'],['purpura'],"[('danazol', 'purpura', np.float32(0.9714427))]"
['rofecoxib'],['ibd'],"[('rofecoxib', 'ibd', np.float32(0.9920254))]"
[],['insomnia'],"[(None, None, None)]"
['citalopram'],[],"[(None, None, None)]"
"['fosinopril', 'quinapril']",['cough'],"[('fosinopril', 'cough', np.float32(0.89512366)), ('quinapril', 'cough', np.float32(0.90132695))]"
['methotrexate'],['sensorineural hearing loss'],"[('methotrexate', 'sensorineural hearing loss', np.float32(0.6250837))]"
['linezolid'],[],"[(None, None, None)]"
['calcium hopantenate'],['reye-like syndrome'],"[('calcium hopantenate', 'reye-like syndrome', np.float32(0.55022514))]"
['quinine'],['thrombocytopenia'],"[('quinine', 'thrombocytopenia', np.float32(0.7437007))]"
['interferon-alpha'],['psoriasis'],"[('interferon-alpha', 'psoriasis', None)]"
['mineral oil'],['elp'],"[('mineral oil', 'elp', np.float32(0.9599825))]"
['nitrofurantoin'],['irreversible pulmonary fibrosis'],"[('nitrofurantoin', 'irreversible pulmonary fibrosis', np.float32(0.92993534))]"
"['calcium gluconate', 'nimodipine']",[],"[(None, None, None)]"
['oxcarbazepine'],['systemic symptoms'],"[('oxcarbazepine', 'systemic symptoms', np.float32(0.7455111))]"
['insulin'],['hypoalbuminaemia'],"[('insulin', 'hypoalbuminaemia', np.float32(0.8655469))]"
['tobramycin'],['renal toxicity'],"[('tobramycin', 'renal toxicity', np.float32(0.73045564))]"
"['fenclofenac', 'sulphasalazine']",['iga deficiency'],"[('fenclofenac', 'iga deficiency', np.float32(0.92503273)), ('sulphasalazine', 'iga deficiency', np.float32(0.9238384))]"
"['oxaliplatinum', '5-fluorouracil']",[],"[(None, None, None)]"
[],['fatal anaphylaxis'],"[(None, None, None)]"
"['quinidine', 'insulin', 'quinine']",['iatrogenic hypoglycaemia'],"[('quinidine', 'iatrogenic hypoglycaemia', np.float32(0.90718114)), ('insulin', 'iatrogenic hypoglycaemia', np.float32(0.8699238)), ('quinine', 'iatrogenic hypoglycaemia', np.float32(0.92930603))]"
[],['tumor lysis syndrome'],"[(None, None, None)]"
"['sulphasalazine', 'sasp']",['psoriasis-like skin reaction'],"[('sulphasalazine', 'psoriasis-like skin reaction', np.float32(0.7276926)), ('sasp', 'psoriasis-like skin reaction', np.float32(0.66213465))]"
['phenobarbital'],['gynecomastia'],"[('phenobarbital', 'gynecomastia', np.float32(0.95912856))]"
"['tacrolimus', 'olp']",['oral mucosa pigmentation'],"[('tacrolimus', 'oral mucosa pigmentation', np.float32(0.900807)), ('olp', 'oral mucosa pigmentation', np.float32(0.9483068))]"
['mtx'],[],"[(None, None, None)]"
['acyclovir'],[],"[(None, None, None)]"
['losartan'],['angioedema'],"[('losartan', 'angioedema', np.float32(0.9607699))]"
['bretylium'],['ventricular tachycardia'],"[('bretylium', 'ventricular tachycardia', np.float32(0.7305541))]"
['pilsicainide'],['life-threatening arrhythmias'],"[('pilsicainide', 'life-threatening arrhythmias', np.float32(0.89793575))]"
['prostaglandin'],['trichiasis'],"[('prostaglandin', 'trichiasis', np.float32(0.9505033))]"
['imatinib'],['cutaneous ks lesions'],"[('imatinib', 'cutaneous ks lesions', np.float32(0.89118344))]"
"['ethambutol', 'rifampicin']","['hepatitis', 'polyarthritis']","[('ethambutol', 'hepatitis', np.float32(0.69494826)), ('ethambutol', 'polyarthritis', np.float32(0.900881)), ('rifampicin', 'hepatitis', np.float32(0.68547595)), ('rifampicin', 'polyarthritis', np.float32(0.9243581))]"
['5-fu'],[],"[(None, None, None)]"
['warfarin'],[],"[(None, None, None)]"
"['ribavirin', 'interferon alfa']",['sarcoidosis'],"[('ribavirin', 'sarcoidosis', np.float32(0.8530997)), ('interferon alfa', 'sarcoidosis', np.float32(0.8684855))]"
"['depakote', 'divalproex sodium']",['symptomatic methemoglobinemia'],"[('depakote', 'symptomatic methemoglobinemia', np.float32(0.9432285)), ('divalproex sodium', 'symptomatic methemoglobinemia', np.float32(0.8840578))]"
['tamoxifen'],[],"[(None, None, None)]"
['ifn-alpha'],[],"[(None, None, None)]"
['amoxapine'],['oral-facial dyskinesia'],"[('amoxapine', 'oral-facial dyskinesia', np.float32(0.9070784))]"
"['sulphasalazine', 'sasp']",['psoriasis-like skin reaction'],"[('sulphasalazine', 'psoriasis-like skin reaction', np.float32(0.7276926)), ('sasp', 'psoriasis-like skin reaction', np.float32(0.66213465))]"
['gold'],['acne'],"[('gold', 'acne', np.float32(0.92975))]"
['pravastatin'],"['sarcoidosis', 'myotonia']","[('pravastatin', 'sarcoidosis', np.float32(0.87379646)), ('pravastatin', 'myotonia', np.float32(0.99297893))]"
['ifn-alpha'],"['thyroid disorders', 'autoimmune thyroiditis']","[('ifn-alpha', 'thyroid disorders', None), ('ifn-alpha', 'autoimmune thyroiditis', None)]"
['carbamazepine'],[],"[(None, None, None)]"
['nitrofurantoin'],['eosinophilic pneumonia'],"[('nitrofurantoin', 'eosinophilic pneumonia', np.float32(0.48609513))]"
[],"['lithium toxicity', 'lithium-neuroleptic toxicity']","[(None, None, None)]"
[],[],"[(None, None, None)]"
['didanosine'],"['severe lactate acidosis', 'fulminant hepatitis']","[('didanosine', 'severe lactate acidosis', np.float32(0.85157466)), ('didanosine', 'fulminant hepatitis', np.float32(0.71669596))]"
"['fenclofenac', 'sulphasalazine']",['iga deficiency'],"[('fenclofenac', 'iga deficiency', np.float32(0.92503273)), ('sulphasalazine', 'iga deficiency', np.float32(0.9238384))]"
['amsacrine'],['acute myocardial infarction'],"[('amsacrine', 'acute myocardial infarction', np.float32(0.815631))]"
['allopurinol'],[],"[(None, None, None)]"
['insulin'],['protamine allergy'],"[('insulin', 'protamine allergy', np.float32(0.850741))]"
