text,drug,effect,indexes
"however, there remain questions concerning whether these drugs, especially methimazole (mmi), may be associated with aplasia cutis congenita (acc) and how best to avoid impairment of fetal thyroid function during their use",mmi,acc,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([91], dtype=int32)}, 'effect': {'start_char': array([142], dtype=int32), 'end_char': array([145], dtype=int32)}}"
"while on a maximal dose of phenylephrine she developed prominent positive u waves, which disappeared with the cessation of the drug",phenylephrine,positive u waves,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([40], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([81], dtype=int32)}}"
"the case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (boop), a rare but recognised form of drug induced injury",nitrofurantoin,boop,"{'drug': {'start_char': array([103], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([195], dtype=int32), 'end_char': array([199], dtype=int32)}}"
generalized maculopapular and papular purpuric eruptions are perhaps the most common thionamide-induced reactions,thionamide,generalized maculopapular and papular purpuric eruptions,"{'drug': {'start_char': array([85], dtype=int32), 'end_char': array([95], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([56], dtype=int32)}}"
"although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia",lidocaine,methemoglobinemia,"{'drug': {'start_char': array([111], dtype=int32), 'end_char': array([120], dtype=int32)}, 'effect': {'start_char': array([ 56, 270], dtype=int32), 'end_char': array([ 73, 287], dtype=int32)}}"
"we report a case of a young woman with sle and thrombocytopenia, who developed severe perspiration, headache, and seizure after receiving cyclosporine",cyclosporine,severe perspiration,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([79], dtype=int32), 'end_char': array([98], dtype=int32)}}"
"we report the first case of fulminant adult respiratory distress syndrome (ards) associated with pegylated interferon alpha-2a (pegifnalpha-2a) and ribavirin use for hepatitis c, complicated by subsequent and ultimately fatal sepsis and multiorgan failure",ribavirin,adult respiratory distress syndrome,"{'drug': {'start_char': array([148], dtype=int32), 'end_char': array([157], dtype=int32)}, 'effect': {'start_char': array([38], dtype=int32), 'end_char': array([73], dtype=int32)}}"
"background: methotrexate (mtx) may induce liver damage, which in some psoriatics will lead to fibrosis or cirrhosis",mtx,cirrhosis,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([106], dtype=int32), 'end_char': array([115], dtype=int32)}}"
"ten days after itraconazole was started, he developed paralytic ileus, neurogenic bladder, mild left ptosis, and absence of deep reflexes, with severe paralysis of the lower extremities and mild weakness of the upper extremities",itraconazole,absence of deep reflexes,"{'drug': {'start_char': array([15], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([113], dtype=int32), 'end_char': array([137], dtype=int32)}}"
skin necrosis after extravasation of low-dose vasopressin administered for septic shock,vasopressin,skin necrosis,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([57], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
subglottic stenosis in wegener's granulomatosis: development during cyclophosphamide treatment with response to carbon dioxide laser therapy,cyclophosphamide,subglottic stenosis,"{'drug': {'start_char': array([68], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}"
"possible mechanisms by which clonidine decreases spasticity are described, probable mechanisms of induced bradycardia are reviewed, and specific treatment recommendations for the use of clonidine in spinal cord injured patients are presented",clonidine,bradycardia,"{'drug': {'start_char': array([ 29, 186], dtype=int32), 'end_char': array([ 38, 195], dtype=int32)}, 'effect': {'start_char': array([106], dtype=int32), 'end_char': array([117], dtype=int32)}}"
"eleven patients developed infection requiring hospitalization while taking leflunomide including: lower respiratory tract infections (3), cellulitis (2), disseminated herpes zoster (2), probable tb liver (1), abdominal sepsis (1), mycotic aneurysm (1) and gastroenteritis (1",leflunomide,abdominal sepsis,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([86], dtype=int32)}, 'effect': {'start_char': array([209], dtype=int32), 'end_char': array([225], dtype=int32)}}"
administration of intravenous nitroglycerin in a patient with idiopathic pulmonary hypertension resulted in an increase in pulmonary artery pressure associated with a decrease in blood flow that is best explained by an increase in pulmonary vascular resistance,nitroglycerin,increase in pulmonary artery pressure,"{'drug': {'start_char': array([30], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([111], dtype=int32), 'end_char': array([148], dtype=int32)}}"
"we describe a case of fibrosing alveolitis, diagnosed by lung biopsy, in a patient receiving amiodarone which responded to corticosteroid therapy",amiodarone,fibrosing alveolitis,"{'drug': {'start_char': array([93], dtype=int32), 'end_char': array([103], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([42], dtype=int32)}}"
"conclusions: topiramate may be associated with ciliochoroidal effusion with forward displacement of the lens-iris diaphragm and anterior chamber shallowing, resulting in acute myopia and angle-closure glaucoma",topiramate,angle-closure glaucoma,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([187], dtype=int32), 'end_char': array([209], dtype=int32)}}"
"a 44-year-old woman is described in whom amiodarone, disopyramide, and quinidine, administered alone separately, induced atypical ventricular tachycardia (avt, torsade de pointes",disopyramide,atypical ventricular tachycardia,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([153], dtype=int32)}}"
we report a case of acute generalized exanthematous pustulosis (agep) induced by salazosulfapyridine in a patient with ulcerative colitis,salazosulfapyridine,acute generalized exanthematous pustulosis,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([100], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([62], dtype=int32)}}"
"the patient experienced muscle twitches, tremulousness, and anxiety on day 17 of foscarnet therapy",foscarnet,tremulousness,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([41], dtype=int32), 'end_char': array([54], dtype=int32)}}"
"we describe a patient with a liver abscess due to entamoeba histolytica, in whom metronidazole therapy (total dose, 21 g over 14 days) was complicated by reversible deafness, tinnitus, and ataxia and who relapsed 5 months later with a splenic abscess",metronidazole,tinnitus,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([175], dtype=int32), 'end_char': array([183], dtype=int32)}}"
this case report describes a patient who was previously prescribed alendronate (fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with fleet phospho-soda,alendronate,hypocalcemic tetany,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([78], dtype=int32)}, 'effect': {'start_char': array([143], dtype=int32), 'end_char': array([162], dtype=int32)}}"
"hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin",sulfonylureas,hypoglycemia,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([154], dtype=int32)}, 'effect': {'start_char': array([119], dtype=int32), 'end_char': array([131], dtype=int32)}}"
"quinapril is an angiotensin-converting enzyme inhibitor (ace-inhibitor) and overdose can lead to prolonged hypotension and, less frequently, transient renal impairment",quinapril,transient renal impairment,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([167], dtype=int32)}}"
"a 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate",bleomycin,hemolytic-uremic syndrome,"{'drug': {'start_char': array([227], dtype=int32), 'end_char': array([236], dtype=int32)}, 'effect': {'start_char': array([124], dtype=int32), 'end_char': array([149], dtype=int32)}}"
"thirty-six patients with al received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ara-c); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias",cytosine arabinoside,infectious complications,"{'drug': {'start_char': array([130], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([225], dtype=int32), 'end_char': array([249], dtype=int32)}}"
interstitial pneumopathy and low-dosage amiodarone,amiodarone,interstitial pneumopathy,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([24], dtype=int32)}}"
"cd4 t-lymphocyte depletion, myelosuppression, and subsequent severe infections are the major side effects of fludarabine phosphate therapy",fludarabine phosphate,cd4 t-lymphocyte depletion,"{'drug': {'start_char': array([109], dtype=int32), 'end_char': array([130], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([26], dtype=int32)}}"
objective: to describe two cases of rhabdomyolysis in patients taking lovastatin that were precipitated by the use of the newer macrolide antibiotics clarithromycin and azithromycin,azithromycin,rhabdomyolysis,"{'drug': {'start_char': array([169], dtype=int32), 'end_char': array([181], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([50], dtype=int32)}}"
"ticlopidine is an oral antiplatelet agent frequently utilized in the treatment of cerebrovascular disease and is rarely associated with severe bone marrow suppression, typically aplastic anemia",ticlopidine,aplastic anemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([178], dtype=int32), 'end_char': array([193], dtype=int32)}}"
